caseId,caseName,caseType,status,caseScore,outcomeScore,routingScore,executionScore,orchestrationScore,efficiencyScore,durationMs,tokenUsage,reason
power_trade_standard_v1_001,河南物流园区套餐定制,business_answer,SUCCESS,47.12,46.8,,36.0,,60.0,52051.0,,orchestration not applicable
power_trade_standard_v1_002,盘前电力交易简报,business_answer,SUCCESS,27.7639,22.4,,28.0,,57.0293,93420.0,,orchestration not applicable
power_trade_standard_v1_003,山东竞价空间数据,data_query,SUCCESS,23.3149,11.2,,28.0,,59.9275,60816.0,,orchestration not applicable
power_trade_standard_v1_004,新建发电企业注册办理,business_answer,SUCCESS,44.8,44.0,,34.0,,60.0,45913.0,,orchestration not applicable
power_trade_standard_v1_005,进口煤限制放开影响分析,scenario_analysis,SUCCESS,44.2857,44.0,,30.0,,60.0,42962.0,,orchestration not applicable
power_trade_standard_v1_006,储能补贴传言影响分析,scenario_analysis,SUCCESS,44.2857,44.0,,30.0,,60.0,44089.0,,orchestration not applicable
power_trade_standard_v1_007,隔壁省停电跨省交易影响,scenario_analysis,SUCCESS,57.4286,60.0,,42.0,,60.0,43006.0,,orchestration not applicable
power_trade_standard_v1_008,夏季高温社交情绪风险,scenario_analysis,SUCCESS,50.8571,52.0,,36.0,,60.0,28225.0,,orchestration not applicable
power_trade_standard_v1_009,买卖一价差大卖盘增加,strategy_advice,SUCCESS,46.4571,47.6,,34.0,,60.0,46048.0,,orchestration not applicable
power_trade_standard_v1_010,截标前地板价卖单涌现,strategy_advice,SUCCESS,58.2857,62.0,,46.0,,60.0,35038.0,,orchestration not applicable
power_trade_standard_v1_011,上午十点成交量达到八成,strategy_advice,SUCCESS,47.3143,47.6,,38.0,,60.0,57543.0,,orchestration not applicable
power_trade_standard_v1_012,晚高峰成交进度滞后,strategy_advice,SUCCESS,46.4571,47.6,,34.0,,60.0,41597.0,,orchestration not applicable
power_trade_standard_v1_013,大盘偏慢买方主动增强策略,strategy_advice,SUCCESS,46.4571,47.6,,34.0,,60.0,27928.0,,orchestration not applicable
power_trade_standard_v1_014,陕西日前现货申报策略,strategy_advice,SUCCESS,37.7219,37.2,,27.0,,56.153,103279.0,,orchestration not applicable
power_trade_standard_v1_015,上周现货出清电价,data_query,SUCCESS,22.4643,13.6,,23.0,,54.074,126667.0,,orchestration not applicable
power_trade_standard_v1_016,陕西昨日申报负荷曲线,data_query,SUCCESS,22.6615,10.4,,28.0,,58.7231,74365.0,,orchestration not applicable
power_trade_standard_v1_017,陕西上周现货价差,data_query,SUCCESS,21.113,8.0,,28.0,,57.7157,85698.0,,orchestration not applicable
power_trade_standard_v1_018,今日全省开停机情况,data_query,SUCCESS,41.2489,37.6,,40.0,,56.7096,97017.0,,orchestration not applicable
power_trade_standard_v1_019,后天气象情况,data_query,SUCCESS,23.8872,13.6,,28.0,,54.7523,119037.0,,orchestration not applicable
power_trade_standard_v1_020,跨省绿电交易规则,business_answer,SUCCESS,40.7648,44.0,,29.0,,34.7356,344224.0,,orchestration not applicable
power_trade_standard_v1_021,年用电量500万kWh用户入市,business_answer,SUCCESS,44.7337,44.0,,34.0,,59.5025,65597.0,,orchestration not applicable
power_trade_standard_v1_022,前天现货复盘,business_answer,SUCCESS,44.3499,44.0,,34.0,,56.6243,97977.0,,orchestration not applicable
power_trade_standard_v1_023,明天全省电源预测总出力,data_query,SUCCESS,23.2666,11.2,,28.0,,59.622,64252.0,,orchestration not applicable
power_trade_standard_v1_024,2025年绿电交易价格机制,business_answer,SUCCESS,44.8,44.0,,34.0,,60.0,46123.0,,orchestration not applicable
power_trade_standard_v1_025,跨省绿电安全校核流程,business_answer,SUCCESS,44.2971,44.0,,34.0,,56.2284,102431.0,,orchestration not applicable
power_trade_standard_v1_026,光储充消防标准,business_answer,SUCCESS,44.8,44.0,,34.0,,60.0,51302.0,,orchestration not applicable
power_trade_standard_v1_027,浙江峰谷价差与工商业储能投资,business_answer,SUCCESS,44.7778,44.0,,34.0,,59.8336,61872.0,,orchestration not applicable
power_trade_standard_v1_028,实时电价查询,data_query,SUCCESS,20.4698,13.6,,23.0,,41.4419,268779.0,,orchestration not applicable
power_trade_standard_v1_029,上个月电价查询,data_query,SUCCESS,21.5546,11.2,,28.0,,48.7794,186232.0,,orchestration not applicable
power_trade_standard_v1_030,明天电价预测,data_query,SUCCESS,23.0748,11.2,,28.0,,58.407,77921.0,,orchestration not applicable
power_trade_standard_v1_031,电价上涨原因分析,business_answer,SUCCESS,43.9324,44.0,,34.0,,53.4932,133202.0,,orchestration not applicable
power_trade_standard_v1_032,选择最省钱用电套餐,robustness,SUCCESS,76.2933,82.4,,58.0,,60.0,19688.0,,orchestration not applicable
power_trade_standard_v1_033,账单分析与套餐推荐,business_answer,SUCCESS,46.5867,46.8,,32.0,,60.0,20766.0,,orchestration not applicable
power_trade_standard_v1_034,今日盘前交易简报,business_answer,SUCCESS,62.1729,65.2,,49.0,,58.6968,74661.0,,orchestration not applicable
power_trade_standard_v1_035,大丰风电场功率预测,data_query,SUCCESS,22.0943,11.2,,28.0,,52.1972,147782.0,,orchestration not applicable
power_trade_standard_v1_036,威海光伏站现货申报策略,strategy_advice,SUCCESS,46.9386,47.6,,38.0,,57.3704,89583.0,,orchestration not applicable
power_trade_standard_v1_037,浙江未来两天日前现货电价预测,data_query,SUCCESS,23.3263,11.2,,28.0,,60.0,52851.0,,orchestration not applicable
power_trade_standard_v1_038,代理售电负荷预测,robustness,SUCCESS,70.4839,74.4,,59.0,,59.953,60529.0,,orchestration not applicable
power_trade_standard_v1_039,后天全省光伏风电预测,data_query,SUCCESS,23.2331,11.2,,28.0,,59.4099,66639.0,,orchestration not applicable
power_trade_standard_v1_040,江苏能量块后天预测,data_query,SUCCESS,41.572,37.6,,40.0,,58.7561,73994.0,,orchestration not applicable
power_trade_standard_v1_041,今明两天竞价空间,data_query,SUCCESS,41.5778,37.6,,40.0,,58.7928,73581.0,,orchestration not applicable
power_trade_standard_v1_042,未来用户预测负荷,robustness,SUCCESS,69.7051,74.4,,59.0,,56.0587,104340.0,,orchestration not applicable
