caseId,caseName,caseType,status,caseScore,outcomeScore,routingScore,executionScore,orchestrationScore,efficiencyScore,durationMs,tokenUsage,reason
power_trade_standard_v1_001,河南物流园区套餐定制,business_answer,SUCCESS,44.4733,44.0,,34.0,,57.5494,87569.0,,orchestration not applicable
power_trade_standard_v1_002,盘前电力交易简报,business_answer,SUCCESS,40.4329,42.4,,31.0,,39.0467,295725.0,,orchestration not applicable
power_trade_standard_v1_003,山东竞价空间数据,data_query,SUCCESS,39.4995,36.0,,37.0,,56.4966,99413.0,,orchestration not applicable
power_trade_standard_v1_004,新建发电企业注册办理,business_answer,SUCCESS,44.2667,44.0,,30.0,,60.0,34700.0,,orchestration not applicable
power_trade_standard_v1_005,进口煤限制放开影响分析,scenario_analysis,SUCCESS,56.7143,60.0,,37.0,,60.0,32882.0,,orchestration not applicable
power_trade_standard_v1_006,储能补贴传言影响分析,scenario_analysis,SUCCESS,44.7622,44.0,,34.0,,59.3355,67476.0,,orchestration not applicable
power_trade_standard_v1_007,隔壁省停电跨省交易影响,scenario_analysis,SUCCESS,57.9547,60.0,,46.0,,59.683,63566.0,,orchestration not applicable
power_trade_standard_v1_008,夏季高温社交情绪风险,scenario_analysis,SUCCESS,57.4286,60.0,,42.0,,60.0,30965.0,,orchestration not applicable
power_trade_standard_v1_009,买卖一价差大卖盘增加,strategy_advice,SUCCESS,58.2857,62.0,,46.0,,60.0,34609.0,,orchestration not applicable
power_trade_standard_v1_010,截标前地板价卖单涌现,strategy_advice,SUCCESS,47.3143,47.6,,38.0,,60.0,39871.0,,orchestration not applicable
power_trade_standard_v1_011,上午十点成交量达到八成,strategy_advice,SUCCESS,58.2857,62.0,,46.0,,60.0,28247.0,,orchestration not applicable
power_trade_standard_v1_012,晚高峰成交进度滞后,strategy_advice,SUCCESS,59.1429,62.0,,50.0,,60.0,54278.0,,orchestration not applicable
power_trade_standard_v1_013,大盘偏慢买方主动增强策略,strategy_advice,SUCCESS,59.1314,62.0,,50.0,,59.92,60900.0,,orchestration not applicable
power_trade_standard_v1_014,陕西日前现货申报策略,strategy_advice,SUCCESS,39.3,38.8,,27.0,,60.0,41656.0,,orchestration not applicable
power_trade_standard_v1_015,上周现货出清电价,data_query,SUCCESS,18.6452,9.6,,25.0,,41.2196,271279.0,,orchestration not applicable
power_trade_standard_v1_016,陕西昨日申报负荷曲线,data_query,SUCCESS,24.5186,13.6,,28.0,,58.7509,74052.0,,orchestration not applicable
power_trade_standard_v1_017,陕西上周现货价差,data_query,SUCCESS,22.8632,10.4,,28.0,,60.0,55651.0,,orchestration not applicable
power_trade_standard_v1_018,今日全省开停机情况,data_query,SUCCESS,21.9336,11.2,,23.0,,59.5125,65484.0,,orchestration not applicable
power_trade_standard_v1_019,后天气象情况,data_query,SUCCESS,24.1744,13.6,,28.0,,56.5712,98574.0,,orchestration not applicable
power_trade_standard_v1_020,跨省绿电交易规则,business_answer,SUCCESS,44.8,44.0,,34.0,,60.0,49164.0,,orchestration not applicable
power_trade_standard_v1_021,年用电量500万kWh用户入市,business_answer,SUCCESS,44.2667,44.0,,30.0,,60.0,52560.0,,orchestration not applicable
power_trade_standard_v1_022,前天现货复盘,business_answer,SUCCESS,41.2254,42.4,,31.0,,44.9901,228861.0,,orchestration not applicable
power_trade_standard_v1_023,明天全省电源预测总出力,data_query,SUCCESS,22.0105,11.2,,23.0,,60.0,35181.0,,orchestration not applicable
power_trade_standard_v1_024,2025年绿电交易价格机制,business_answer,SUCCESS,61.654,65.2,,49.0,,54.8051,118443.0,,orchestration not applicable
