caseId,caseName,caseType,status,caseScore,outcomeScore,routingScore,executionScore,orchestrationScore,efficiencyScore,durationMs,tokenUsage,reason
power_trade_standard_v1_001,河南物流园区套餐定制,business_answer,SUCCESS,39.4503,41.4,,9.0,,59.1774,69254.0,,orchestration not applicable
power_trade_standard_v1_002,盘前电力交易简报,business_answer,SUCCESS,36.1867,36.8,,9.0,,60.0,45305.0,,orchestration not applicable
power_trade_standard_v1_003,山东竞价空间数据,data_query,SUCCESS,18.6842,15.0,,2.0,,60.0,35402.0,,orchestration not applicable
power_trade_standard_v1_004,新建发电企业注册办理,business_answer,SUCCESS,39.4426,41.4,,9.0,,59.1196,69905.0,,orchestration not applicable
power_trade_standard_v1_005,进口煤限制放开影响分析,scenario_analysis,SUCCESS,35.2,35.48,,9.0,,60.0,52852.0,,orchestration not applicable
power_trade_standard_v1_006,储能补贴传言影响分析,scenario_analysis,SUCCESS,44.0,47.8,,9.0,,60.0,44986.0,,orchestration not applicable
power_trade_standard_v1_007,隔壁省停电跨省交易影响,scenario_analysis,SUCCESS,44.0,47.8,,9.0,,60.0,42869.0,,orchestration not applicable
power_trade_standard_v1_008,夏季高温社交情绪风险,scenario_analysis,SUCCESS,47.5714,52.8,,9.0,,60.0,40224.0,,orchestration not applicable
power_trade_standard_v1_009,买卖一价差大卖盘增加,strategy_advice,SUCCESS,35.2114,38.44,,9.0,,60.0,32813.0,,orchestration not applicable
power_trade_standard_v1_010,截标前地板价卖单涌现,strategy_advice,SUCCESS,37.2686,41.64,,9.0,,60.0,31193.0,,orchestration not applicable
power_trade_standard_v1_011,上午十点成交量达到八成,strategy_advice,SUCCESS,43.8857,53.6,,4.0,,60.0,32057.0,,orchestration not applicable
power_trade_standard_v1_012,晚高峰成交进度滞后,strategy_advice,SUCCESS,41.2286,47.8,,9.0,,60.0,36458.0,,orchestration not applicable
power_trade_standard_v1_013,大盘偏慢买方主动增强策略,strategy_advice,SUCCESS,37.2686,41.64,,9.0,,60.0,31479.0,,orchestration not applicable
power_trade_standard_v1_014,陕西日前现货申报策略,strategy_advice,SUCCESS,37.2686,41.64,,9.0,,60.0,58137.0,,orchestration not applicable
