caseId,caseName,caseType,status,caseScore,outcomeScore,routingScore,executionScore,orchestrationScore,efficiencyScore,durationMs,tokenUsage,reason
power_trade_standard_v1_001,河南物流园区套餐定制,business_answer,SUCCESS,58.666,54.268,,45.0,,96.5207,99142.0,1090.0,orchestration not applicable
power_trade_standard_v1_002,盘前电力交易简报,business_answer,SUCCESS,53.5393,46.8,,45.0,,99.145,69619.0,891.0,orchestration not applicable
power_trade_standard_v1_003,山东竞价空间数据,data_query,SUCCESS,49.3449,37.8,,45.0,,98.918,72173.0,906.0,orchestration not applicable
power_trade_standard_v1_004,新建发电企业注册办理,business_answer,SUCCESS,58.0766,53.2,,45.0,,97.9741,82791.0,1114.0,orchestration not applicable
power_trade_standard_v1_005,进口煤限制放开影响分析,scenario_analysis,SUCCESS,43.3046,32.0,,45.0,,98.1323,81012.0,996.0,orchestration not applicable
power_trade_standard_v1_006,储能补贴传言影响分析,scenario_analysis,SUCCESS,62.1632,58.56,,46.0,,96.3422,101150.0,1259.0,orchestration not applicable
power_trade_standard_v1_007,隔壁省停电跨省交易影响,scenario_analysis,SUCCESS,56.0001,50.48,,45.0,,94.6007,120742.0,1470.0,orchestration not applicable
power_trade_standard_v1_008,夏季高温社交情绪风险,scenario_analysis,SUCCESS,65.3551,62.8,,45.0,,98.486,77032.0,990.0,orchestration not applicable
power_trade_standard_v1_009,买卖一价差大卖盘增加,strategy_advice,SUCCESS,56.2315,50.48,,45.0,,98.9608,71691.0,804.0,orchestration not applicable
power_trade_standard_v1_010,截标前地板价卖单涌现,strategy_advice,SUCCESS,60.6131,56.84,,46.0,,99.5114,65497.0,713.0,orchestration not applicable
power_trade_standard_v1_011,上午十点成交量达到八成,strategy_advice,SUCCESS,56.2624,50.48,,45.0,,99.1767,69262.0,869.0,orchestration not applicable
power_trade_standard_v1_012,晚高峰成交进度滞后,strategy_advice,SUCCESS,64.2359,62.8,,45.0,,99.551,65051.0,690.0,orchestration not applicable
power_trade_standard_v1_013,大盘偏慢买方主动增强策略,strategy_advice,SUCCESS,60.2242,56.64,,45.0,,99.1896,69117.0,810.0,orchestration not applicable
power_trade_standard_v1_014,陕西日前现货申报策略,strategy_advice,SUCCESS,53.9827,48.426,,45.0,,92.4616,144807.0,1329.0,orchestration not applicable
power_trade_standard_v1_015,上周现货出清电价,data_query,SUCCESS,47.9411,35.08,,45.0,,100.0,55977.0,731.0,orchestration not applicable
power_trade_standard_v1_016,陕西昨日申报负荷曲线,data_query,SUCCESS,47.9411,35.08,,45.0,,100.0,49402.0,697.0,orchestration not applicable
power_trade_standard_v1_017,陕西上周现货价差,data_query,SUCCESS,47.7477,35.08,,45.0,,98.7754,73777.0,1079.0,orchestration not applicable
power_trade_standard_v1_018,今日全省开停机情况,data_query,SUCCESS,43.6979,28.2,,45.0,,98.3531,78528.0,1041.0,orchestration not applicable
power_trade_standard_v1_019,后天气象情况,data_query,SUCCESS,50.8556,40.52,,45.0,,98.5118,76742.0,1004.0,orchestration not applicable
power_trade_standard_v1_020,跨省绿电交易规则,business_answer,SUCCESS,54.9178,50.0,,45.0,,91.8836,151310.0,1675.0,orchestration not applicable
power_trade_standard_v1_021,年用电量500万kWh用户入市,business_answer,SUCCESS,50.4058,43.6,,45.0,,93.2436,136009.0,1540.0,orchestration not applicable
power_trade_standard_v1_022,前天现货复盘,business_answer,SUCCESS,50.7134,43.6,,45.0,,95.5508,110053.0,1402.0,orchestration not applicable
power_trade_standard_v1_023,明天全省电源预测总出力,data_query,SUCCESS,47.8774,35.08,,45.0,,99.5967,64537.0,851.0,orchestration not applicable
power_trade_standard_v1_024,2025年绿电交易价格机制,business_answer,SUCCESS,63.3321,61.36,,45.0,,92.5106,144256.0,1278.0,orchestration not applicable
power_trade_standard_v1_025,跨省绿电安全校核流程,business_answer,SUCCESS,55.5969,50.0,,45.0,,96.977,94009.0,1177.0,orchestration not applicable
power_trade_standard_v1_026,光储充消防标准,business_answer,SUCCESS,48.8419,42.15,,45.0,,89.4893,178245.0,1631.0,orchestration not applicable
power_trade_standard_v1_027,浙江峰谷价差与工商业储能投资,business_answer,SUCCESS,52.7496,46.8,,45.0,,93.2218,136255.0,1458.0,orchestration not applicable
power_trade_standard_v1_028,实时电价查询,data_query,SUCCESS,55.3979,47.96,,45.0,,100.0,37658.0,565.0,orchestration not applicable
power_trade_standard_v1_029,上个月电价查询,data_query,SUCCESS,44.7201,29.64,,45.0,,99.5476,65090.0,836.0,orchestration not applicable
power_trade_standard_v1_030,明天电价预测,data_query,SUCCESS,47.8551,35.08,,45.0,,99.4555,66126.0,730.0,orchestration not applicable
