caseId,caseName,caseType,status,caseScore,outcomeScore,routingScore,executionScore,orchestrationScore,efficiencyScore,durationMs,tokenUsage,reason
power_trade_standard_v1_001,河南物流园区套餐定制,business_answer,SUCCESS,58.7571,54.268,,45.0,,97.2044,91450.0,1166.0,orchestration not applicable
power_trade_standard_v1_002,盘前电力交易简报,business_answer,SUCCESS,53.4069,46.8,,45.0,,98.1516,80795.0,941.0,orchestration not applicable
power_trade_standard_v1_003,山东竞价空间数据,data_query,SUCCESS,48.4489,36.098,,45.0,,99.4836,65810.0,840.0,orchestration not applicable
power_trade_standard_v1_004,新建发电企业注册办理,business_answer,SUCCESS,60.2798,56.4,,45.0,,96.8985,94892.0,1250.0,orchestration not applicable
power_trade_standard_v1_005,进口煤限制放开影响分析,scenario_analysis,SUCCESS,43.1447,32.0,,45.0,,97.0126,93608.0,1145.0,orchestration not applicable
power_trade_standard_v1_006,储能补贴传言影响分析,scenario_analysis,SUCCESS,58.1785,53.56,,45.0,,94.4492,122446.0,1500.0,orchestration not applicable
power_trade_standard_v1_007,隔壁省停电跨省交易影响,scenario_analysis,SUCCESS,56.3761,50.48,,45.0,,97.2324,91136.0,1130.0,orchestration not applicable
power_trade_standard_v1_008,夏季高温社交情绪风险,scenario_analysis,SUCCESS,64.1588,61.26,,45.0,,97.8118,84617.0,1070.0,orchestration not applicable
power_trade_standard_v1_009,买卖一价差大卖盘增加,strategy_advice,SUCCESS,56.9023,51.84,,45.0,,97.536,87720.0,812.0,orchestration not applicable
power_trade_standard_v1_010,截标前地板价卖单涌现,strategy_advice,SUCCESS,59.0056,55.04,,45.0,,97.8592,84084.0,818.0,orchestration not applicable
power_trade_standard_v1_011,上午十点成交量达到八成,strategy_advice,SUCCESS,56.174,50.48,,45.0,,98.5581,76221.0,833.0,orchestration not applicable
power_trade_standard_v1_012,晚高峰成交进度滞后,strategy_advice,SUCCESS,64.0682,62.8,,45.0,,98.3777,78251.0,911.0,orchestration not applicable
power_trade_standard_v1_013,大盘偏慢买方主动增强策略,strategy_advice,SUCCESS,60.0457,56.64,,45.0,,97.94,83175.0,936.0,orchestration not applicable
power_trade_standard_v1_014,陕西日前现货申报策略,strategy_advice,SUCCESS,54.4929,48.426,,45.0,,96.033,104629.0,1166.0,orchestration not applicable
power_trade_standard_v1_015,上周现货出清电价,data_query,SUCCESS,47.9411,35.08,,45.0,,100.0,50610.0,700.0,orchestration not applicable
power_trade_standard_v1_016,陕西昨日申报负荷曲线,data_query,SUCCESS,47.1074,33.64,,45.0,,100.0,41373.0,580.0,orchestration not applicable
power_trade_standard_v1_017,陕西上周现货价差,data_query,SUCCESS,47.0076,33.64,,45.0,,99.368,67110.0,888.0,orchestration not applicable
power_trade_standard_v1_018,今日全省开停机情况,data_query,SUCCESS,44.5086,29.64,,45.0,,98.2077,80163.0,1051.0,orchestration not applicable
power_trade_standard_v1_019,后天气象情况,data_query,SUCCESS,50.7377,40.52,,45.0,,97.7654,85139.0,1094.0,orchestration not applicable
power_trade_standard_v1_020,跨省绿电交易规则,business_answer,SUCCESS,52.654,50.0,,45.0,,74.9047,342322.0,1954.0,orchestration not applicable
power_trade_standard_v1_021,年用电量500万kWh用户入市,business_answer,SUCCESS,55.3284,50.0,,45.0,,94.9628,116669.0,1441.0,orchestration not applicable
power_trade_standard_v1_022,前天现货复盘,business_answer,SUCCESS,50.6278,43.6,,45.0,,94.9084,117280.0,1432.0,orchestration not applicable
power_trade_standard_v1_023,明天全省电源预测总出力,data_query,SUCCESS,46.1688,32.36,,45.0,,98.7488,74076.0,943.0,orchestration not applicable
power_trade_standard_v1_024,2025年绿电交易价格机制,business_answer,SUCCESS,63.3239,61.36,,45.0,,92.4492,144946.0,1295.0,orchestration not applicable
power_trade_standard_v1_025,跨省绿电安全校核流程,business_answer,SUCCESS,55.78,50.0,,45.0,,98.3503,78559.0,986.0,orchestration not applicable
power_trade_standard_v1_026,光储充消防标准,business_answer,SUCCESS,53.5081,48.55,,45.0,,89.2856,180537.0,1729.0,orchestration not applicable
power_trade_standard_v1_027,浙江峰谷价差与工商业储能投资,business_answer,SUCCESS,52.7975,46.8,,45.0,,93.581,132214.0,1591.0,orchestration not applicable
power_trade_standard_v1_028,实时电价查询,data_query,SUCCESS,55.3979,47.96,,45.0,,100.0,32870.0,516.0,orchestration not applicable
power_trade_standard_v1_029,上个月电价查询,data_query,SUCCESS,44.7916,29.64,,45.0,,100.0,56970.0,741.0,orchestration not applicable
power_trade_standard_v1_030,明天电价预测,data_query,SUCCESS,47.9411,35.08,,45.0,,100.0,58581.0,738.0,orchestration not applicable
power_trade_standard_v1_031,电价上涨原因分析,business_answer,SUCCESS,55.5513,50.0,,45.0,,96.6349,97857.0,1197.0,orchestration not applicable
power_trade_standard_v1_032,选择最省钱用电套餐,robustness,SUCCESS,65.1107,57.88,,45.0,,98.3268,78824.0,1026.0,orchestration not applicable
